channel_title,avg_views,video_count
Vote The Process,88257,1
Dr. Sandra Lee (aka Dr. Pimple Popper),87674,2
MeganBatoon,87478,2
lara6683,87397,1
Tim Gray,87357,1
Dennis Kapatos,87209,1
Srinath .S,87105,1
BehindTheSounds,86744,1
Popcorn with Peter Travers,86360,1
Paramount Network,86206,2
BaconLegs,86188,1
12 News,85643,1
XAmbassadorsVEVO,85556,2
The Deal Guy,85522,2
BeOurGuest,85478,1
Jon B.,85400,2
Red Robot - Intelligent Distribution,84474,1
WHAT'S INSIDE? FAMILY,84414,2
Arden Rose,84305,2
Hush Kit,84198,1
BrantleyGilbertVEVO,84155,1
PeopleTV,84053,2
Ford Motor Company,83525,1
Quicken Loans,83386,1
Mayim Bialik,83219,4
KickThePj,83200,1
Drew Lynch,83144,2
DJI,82977,1
Bachelor Nation on ABC,82836,3
The Thought Emporium,82752,1
JohnnyQ90,82407,1
NBC,82367,4
Tu Fan,82087,1
jenniferhudsonVEVO,81509,1
Pitchfork,81488,1
The Talk,81098,4
Burritoxman,81059,1
Inthefrow,80945,1
BrasherN,80760,1
Laura Kampf,80719,3
Inside the Magic,80200,1
Movie Munchies,79863,1
Asian Boss,79668,2
Keke Palmer,79452,1
NickJonasVEVO,79424,3
Carly and Erin,79099,1
jessiepaege,78987,3
KTVU,78841,1
ChloexHalleVEVO,78595,2
Brothers Green Eats,77630,1
Jessii Vee,77486,1
LukeBryanVEVO,77391,3
MaccabeatsVideos,77201,1
Trace Cyrus,76871,1
U2VEVO,76707,4
BuzzFeed Nifty,76487,8
OlanRogers,76044,1
RawBeautyKristi,75912,1
Just Between Us,75045,3
Mamrie Hart,74998,2
"European Space Agency, ESA",74720,1
Ryan Williams,74609,1
Kandee Johnson,74447,3
Alto's Adventure,73724,1
paul wheaton,73685,1
New England Patriots,73662,1
Helen Anderson,73427,1
Animal Adventure Park,73166,2
Andrew Lowe,73104,1
Brian Hull,72938,3
Cloth Map,72789,1
DunkFest,72675,2
Dina Tokio,72626,1
shurap,72514,1
Choir! Choir! Choir!,72339,1
neilyoungchannel,72321,1
kawaiisweetworld,72234,1
New York Daily News,72174,2
Feast Of Fiction,72033,3
Chloe x Halle,71609,2
MandisaVEVO,71574,1
Tom Harlock,71264,1
Big Ten Network,71072,1
Anthem Lights,71008,1
Lotto New Zealand,70581,1
CupcakeJemma,70132,4
WFLA News Channel 8,69716,1
Hannah Meloche,69028,1
Aunty Donna,68835,1
RagnBoneManVEVO,67815,1
officer401,67661,1
Christopher Davis,66943,1
AIA awards,66888,1
Auralnauts,66800,1
Tessa Violet,66202,2
The Ohana Adventure,66028,2
Butch Hartman,65838,2
Clicknetwork,65823,1
Pomegranate Sunshine,65758,1
QUARTZ,65409,1
The Inertia,65371,1
colourpopcosmetics,64817,1
Cartoon Hangover,64714,1
Samantha Maria,64516,2
The Hollywood Reporter,64318,7
BBC Earth,64092,6
BellaThorneVEVO,63926,1
Kotaku,63531,1
ViralHog,63480,14
SB-LII Commercials,63312,1
ColliderVideos,63292,17
Andre Black Nerd,63211,4
Steeper33,63007,1
BerkleyLovesTori,62995,1
Josh Groban,62656,3
The Alex Jones Channel,62216,2
ilikeweylie,62061,1
Refinery29,61389,40
KipMooreVEVO,61359,1
SnekTek,61317,1
CrowsEyeProductions,61251,1
Guldies,61240,1
Kitten Lady,60929,3
HQVideoDude,60828,1
Trailers Promos Teasers,60650,2
CatCreature,60636,3
Bethel Music,60586,1
The Weather Channel,60509,1
Elton John,60398,1
Midnight Video,60262,1
GoPro,60194,5
The Cuddle Squad,60161,2
David Sistaro,60079,1
Duan Mackenzie,60072,1
The Bachelor Insider,59833,1
Symon,59638,1
Dancing On Ice,59606,1
Rappler,59466,1
ThisDustIn,59352,1
Sparkee Music,59297,1
Chevrolet,57915,1
LIVEKellyandRyan,57889,8
officialcharlixcx,57588,2
Nickelback,57169,1
Buttered Side Down,57156,3
Jessica Braun | JAMbeauty89,56771,1
Royal Blood,56553,1
My Virgin Kitchen,56420,2
Applied Science,56345,3
Spinach Dippa,56197,1
Joan Kim,56152,3
Katy Perry,56012,1
Parks and Recreation,55974,1
Mike Diva,55556,1
Wall Street Journal,55510,2
Whitney Port,55398,1
Max Fagin,55323,1
euronews (in English),54779,5
Gemma Stafford,54391,2
ParsonJamesVEVO,54324,2
David Archuleta,54209,1
Renault Sport,54198,1
MassMutual,54155,1
slaymeclarkson c:,54002,1
UJ,53942,1
SRAM MTB,53923,1
ByronTalbott,53752,2
Access Hollywood,53700,4
MDNA SKIN,53321,1
Talks at Google,53000,1
Hudson Moore,52628,1
Cody'sLab Backup,52607,1
Good Morning Britain,52602,1
FX Networks,52458,4
TheGracieC,51932,1
T-Mobile,51769,1
Penguin Books UK,51474,1
souviendra,51146,1
Roy Moore for Senate,51139,1
Merrell Twins Live,50850,3
Derek Hough,50722,1
Lauren Elizabeth,50702,1
Ingrid Nilsen,50686,2
Laura in the Kitchen,50557,4
The Cincinnati Zoo & Botanical Garden,50547,1
smoothiethecat,50131,1
John Campea,49950,17
In Case You Missed It,49646,1
Roadshow,49536,1
Doug Jones for Senate,49472,1
Kyle Gunderson,49461,1
Halfway Anywhere,49091,1
LustreLux,49037,1
JAY,48982,1
KIND Snacks,48811,1
ScreenJunkies News,48804,11
Xbox,48735,1
heroedelahistoria,48682,1
Scott Manley,48505,1
Daelric,48372,1
The Rock,47974,1
Be Amazed,47661,1
Ivan Miranda,47464,1
AutoGuide.com,47430,1
BenDeen,47399,1
Sam Sheffer,47385,1
lisbug,47287,1
CMAVEVO,46746,1
Just Marcus,46706,1
ScottyMcCreeryVEVO,46683,1
Sara Dietschy,46547,3
CBS Sunday Morning,45952,3
Specialized Bicycles,45844,1
The Square to Spare,45164,1
misleadingsilhouette,45096,1
Edward Avila,45065,1
The Warp Zone,44851,1
INQUIRER.net,44295,1
3D Printing Nerd,44170,2
Steve TV Show,44159,2
BleachersVEVO,43931,1
LiveOverflow,43554,1
Haru the Shiba Inu,43437,1
FunForLouis,43226,1
Chris Reinacher,42826,1
Useless Duck Company,42737,1
Eva Lunde Bentley,42513,1
HANSON,42343,2
Shantell Martin,42336,1
Obama Foundation,42194,1
Moby,41958,1
BishopBriggsVEVO,41956,1
CamVEVO,41441,1
Jessica Vu,41407,1
Brian Klug,41335,1
Errant Signal,41268,1
Sherylcrow,41174,1
Chris Hadfield's Rare Earth,41073,1
Canada Soccer,41029,1
austinmcconnell,40790,2
Omaze,40319,1
Jacob Collier,40117,1
Special Books by Special Kids,39834,2
Missouri Star Quilt Company,39810,2
JK Brickworks,39096,1
Youtube Tea,38638,2
Mercedes-Benz,38585,1
LaToya Forever,38355,1
The Pet Collective,38257,1
USA TODAY,38183,8
Matt and Kim,38001,1
Just Jared Jr,37812,1
Chicago Sun-Times,37756,2
Jalopnik,37522,1
Lifetime,37447,1
Lucy Moon,37370,2
NASCAR,36932,2
Tryst Network,36744,1
POPSUGAR,36588,1
DamonAndJo,36443,6
Radio Andy,36270,1
FreeDawkins,36028,6
CrashCourse,35892,1
Bret Baier,35891,1
Campo Santo Productions,35817,1
Henry Prince Mak,35704,1
Townsends,35655,2
The Unipiper,35372,1
Billy Graham Evangelistic Association,35053,1
Sports Illustrated,34997,1
Popular Woodworking,34650,1
Dylan Locke,34551,1
Mark Ferris,34138,1
CityNews Toronto,34133,1
RachelPlattenVEVO,33887,1
Huxley Berg Studios,33856,1
Invisible People,33685,1
Toyota USA,33447,1
Andy Grammer,33315,1
Whyte Foxx Music Videos & More,33285,1
K Yuen,33260,1
Smyang Piano,33211,1
TNT,33114,2
ATPWorldTour,33042,1
Paul Sellers,32987,1
Nicki Shields,32749,1
mittromney,32662,1
"One List , One Life",32385,1
MOBO Awards,32219,1
SKITTLESbrand,32090,2
Us Weekly,31829,1
Chriselle Lim,31765,1
Tony Berza,31576,1
marjolijn2,31145,1
Darren Criss,31034,1
Big Cat Rescue,30576,1
nothorwitzer,30550,1
DragTimes,30484,1
Marco Reps,30456,2
Lawrence Livermore National Laboratory,30361,1
ClovesVEVO,30260,1
Tom Daley,30181,2
Domain of Science,30134,1
Kacey Musgraves - Topic,30096,1
TrainVEVO,30021,1
Tyler Stalman,29822,2
CFL Insider,29733,1
52 Skillz,29469,1
Freedom of the Press Foundation,29301,1
LexusVehicles,29017,1
Theme Park Review,29017,1
CYNVEVO,28983,1
FloSports,28954,1
Mr Ben Brown,28731,1
Recode,28626,1
Guinness World Records,28539,1
The Scran Line,28463,8
Zach Simmons,28371,1
Benn and Gear,28266,1
Amanda Palmer,28129,1
Kayley Melissa,28127,3
Mom Will Be Proud,27982,1
Cleveland Cavaliers on cleveland.com,27943,1
David Steuer,27779,1
Tony Baker Comedy,27499,1
Mental Floss,27342,5
Topi The Corgi,27245,2
Movie'n'co UK,27234,1
Funny Or Die,27080,3
BrianJustinCrum,27010,1
Pixielocks,27004,3
Highsnobiety,26906,1
NASA,26527,1
Torm place,26495,1
Shade 45,26393,1
Björk,26304,1
StoryCorps,26282,1
Tim Barrett,26185,1
PekingDukVEVO,26117,1
Bini the Bunny,26102,1
Michael Callaghan,26096,1
KFlayVEVO,26093,1
Amazon.co.uk,26000,1
NitroV2,25923,1
shoaib246,25796,1
Hannah Witton,25780,1
blvck King,25383,1
Daily Davidsons,25211,1
startelegramvideo,25108,1
The Royal Ocean Film Society,25096,1
David Jardine,25084,1
DrMachakil,25082,1
The CGBros,24543,1
Maddie Lymburner,24530,1
lugeyps3,24492,1
XFL,24203,1
Ryan Northover,24200,1
fuzywazacolin,23889,1
Writers Guild of America East,23866,1
Rise,23819,1
Humble Design,23634,1
King Princess,23506,1
Adult Swim UK,23468,1
Song Of Style,23405,1
Los Angeles Times,23360,2
Monster Cable Products,23308,1
Kingsley,23187,1
Will Darbyshire,23116,1
Catch-Up TV,23049,1
Smequle,22835,1
Birdbox Studio,22695,1
American Bridge 21st Century,22690,1
LaMadelynn,22690,3
Empire,22659,1
Wallows,22580,1
RocketJump Film School,22294,1
GohmertTX01,22283,1
Channel 4,22231,1
Bloomberg,22195,1
The Angie Martinez Show,22108,1
Máquina Voadora,22090,1
Commercials Funny,22034,1
melodysheep,21953,1
Nathan C,21723,1
StudiocanalUK,21573,1
Marteen Estevez,21437,1
Hunter Hayes,21416,3
rock on,21361,1
Al Jazeera English,21358,5
Twin Shadow,21254,1
WildTurkeyBourbon,21194,1
Navenanthen Gepardieu,21063,1
Fox Business,20955,1
KFC,20740,1
Hollyscoop,20612,1
Karim Jovian,20566,1
Momentum Pictures,20281,3
JackJohnsonVEVO,20200,2
Honda,20188,1
Barstool Sports,20063,1
mvt.ias,19744,1
cgriesemer,19703,1
Rainer Hilland,19575,1
greyson97,19561,1
Pac-12 Networks,19333,1
The Tommy Edison Experience,19261,1
Barcroft Animals,19109,2
Blurred Culture,19048,1
Genuine Survival Research Labs,19006,1
Strange incident,18985,1
ladygagaarraza,18916,1
David Windestal,18744,1
TimandFaithVEVO,18346,1
SIRAH,18317,1
PhakeNam,18264,1
Tom Thum,18229,1
The Atlantic,18176,3
ELLEUKTV,18032,1
MK Dons,17987,1
42Fab - Metalworking and Multi-Medium Fabrication,17812,1
Lamborghini,17746,1
NOLA.com,17627,1
Turbo Conquering Mega Eagle,17592,1
Onur Altuğ Sever,17273,1
Royal Academy of Arts,17164,1
Mustache Wax,16690,1
Apple Support,16553,2
Violin MD,16370,1
LetsGoWarriors,16305,1
MovieAccessTrailers,16287,1
Senator Chris Murphy,16080,1
Star Wars Coffee,16031,1
XenonJohn,15745,1
Official Charts,15672,1
Kat Cunning,15570,1
pjmorton,15495,1
astroboy1960,15382,1
RealNewsNetworkMedia,15355,1
Matoma,15353,1
Whitney Avalon,15307,1
SHOWTIME Sports,15232,1
The Sports King,15117,1
hudsonunionsociety,15058,1
Vat19Nvjds,14967,1
The Ringer,14865,1
MiddleKidsVEVO,14839,1
nickjonas,14727,1
Loudwire,14645,1
X Games,14513,1
Sports Lovers n1,14376,1
KISS FM UK,14086,1
DreamCastle_629,14071,1
Sound Bites,13845,1
toofacedcosmetics,13747,1
Emma Massingale,13670,1
Seonkyoung Longest,13596,1
Function,13564,1
Healthcare Triage,13384,2
J.J. McCullough,13205,1
First Aid Kit,13128,1
FOX,13125,3
Syracuse Orange,12994,1
RetroManCave,12964,2
WGA West,12963,1
FerrasVEVO,12866,1
Philadelphia 76ers,12831,1
Feelunique,12790,1
MrTreknation,12769,1
Technomanila,12649,1
CBS Philly,12621,1
Blockbuster,12609,1
郭韋辰,12594,1
Billions,12523,1
Charles Chan,12515,1
BeyondSlowMotion,12468,1
The Players' Tribune,12352,1
Video Library,12212,1
BUILD Series,12166,3
DopeBoyTroy,12100,1
Audience Network,11807,1
Stefany Gonzalez,11630,1
WTHR,11484,1
gamelovercommercials,11204,1
Topic,11054,1
AmandaMoor & Craft Ideas,11028,1
Represent.Us,11023,1
Hak5,10914,1
greeenpro,10909,1
Rachelleea,10881,1
RihannaNavyVevo,10754,1
Bob Przybylo,10720,1
Dish Nation,10640,1
WE tv,10634,2
Freemeo,10559,1
E! News,10544,3
Crusoe the Celebrity Dachshund,10521,1
Business InsiderAu,10477,1
gzumwalt,10386,1
World Eyes,10358,1
Kanimuna Kisaka,10283,1
Amarullah Rizky,10186,1
Ford Europe,10020,1
Associated Press,10013,8
Max Hertan,9977,1
SR Trailers and Interviews,9812,1
IGN News,9722,2
Fontgod,9666,1
Kelly Eden,9567,1
NIXOLAS,9510,1
CBS Chicago,9489,1
TraceyThornVEVO,9395,1
Outback Steakhouse,9387,1
JimBrowski 96HourNews,9132,1
Braxen McConnell,9094,1
Mark Linsangan,9036,1
Business Insider UK,9023,3
BenTheBondsman,9015,1
Elvis Duran Show,8941,1
Kraft Brand,8750,1
Disneyland Experience,8696,1
NoahKahanVEVO,8690,1
NFL World,8440,1
Persil ProClean,8300,1
LecraeVEVO,8285,1
Maker's Box,8219,1
Mike Olbinski,8177,1
ROME REPORTS in English,8128,1
legofreedom1,8116,1
Hybrid Network,8088,1
Davey Swatpaz,8014,1
Freeform,7978,1
TheUnlockr,7973,1
Sriram Murali,7938,1
Huw Parkinson,7658,1
Crafty Panda,7638,1
Marie McGann,7432,1
Dean Anderson,7325,1
The University of Chicago,7188,1
revlon,7130,1
Shawn,7036,1
WQAD News 8,6982,1
Bloomberg Politics,6979,1
WLKY News Louisville,6685,1
Gregg Peterson,6684,1
Rebel Wilson,6624,1
Rainsford,6593,1
lugnutsoldcrap,6491,1
Stewart Brand,6412,1
FRANKIEmusicVEVO,6383,1
Trevor Wallace,6335,1
Science vs Cinema,6320,1
MARIO TESTINO,6271,1
DKDKTV,6179,1
edlover4real,6172,1
I'm With Her,6148,1
Viral Paws,6018,1
Spectrum Haleskarth,5997,1
MassLive,5938,1
Flash Rahbbit,5925,1
Prince Marcus,5876,1
NBA on ESPN,5813,1
Must Love Science,5775,1
Famous Celebrities Snaps,5751,1
Rock & Roll Hall of Fame,5625,1
Taylor Alexander,5584,1
SiriusXM,5488,1
Joshua Levin,5391,1
cicigoodies2011,5270,1
Tegan and Sara,5258,1
Red Bull Records,5226,1
CNLohr,5224,1
Nahre Sol,5149,1
Aerie,5144,1
LOFTON SHAW,5119,1
MILCK,5092,1
Tamika Hall,4970,1
Unique Vibes,4938,1
Caterham Cars,4850,1
Skelly Robot,4767,1
Quad9 DNS,4759,1
Geoff Mallinson,4681,1
NWSSanDiego,4636,1
Car Commercials of the Past,4631,1
Electron Dust,4610,1
Plasma Channel,4602,2
Any rubbish,4596,1
D3sports.com,4569,1
CyclingTips,4562,1
Madmorda,4541,1
Slednecks,4442,1
Milkmen Design,4387,1
UCAN Zippers USA,4321,1
JanPaul123,4253,1
Sport Hub,4206,1
Oceana,4178,1
Sieuwe Elferink,4168,1
Masters Of The Sun,4143,1
Summit,4009,1
iDB,3939,1
"monday.com, formerly dapulse",3931,1
John Varvatos,3917,1
Clark Zhu,3888,1
TDAmeritrade,3831,1
VideoGameAds,3791,1
Thomas Sebastian,3788,1
Eric Strebel,3783,3
FlyFastandLow,3748,1
IsraeliPM,3741,1
Billboard News,3696,1
FrownsUpsideDown,3644,1
AFP news agency,3634,1
Republican News Watch,3596,1
Context Information Security,3595,1
Carlos Campos,3551,1
NARLtv,3545,1
YBF Chic,3455,3
Chris Sturgeon,3438,1
Maggie Smith Kühn,3411,1
Entertainment Weekly,3404,2
The Current Source,3391,1
daronjay,3390,1
Desktop Makes,3390,1
Kerry Wong,3345,1
Radio Physics and Electronics,3287,1
iotexpert,3221,1
New York Magazine,3154,1
Grist,3133,1
CIRCUITBEARD,3114,1
East Idaho News,3077,1
reputationswift,3006,1
CMT,3003,1
NOVA's Secret Life of Scientists and Engineers,2992,1
Ross Kempsell,2975,1
HOTSPOTATL,2929,1
FacelesswithEyesOpen,2896,1
Voicebot,2869,1
vnbreyes,2863,1
The Sydney Morning Herald,2785,1
F Milburn,2612,1
Voltfolio,2604,1
WhatsApp Wacky,2585,1
DaHoopSpot Productions,2493,1
negermano,2492,1
VOsprey22,2460,1
Taras Malyar,2421,1
Atlanta Hawks,2394,1
Kevin Stein,2302,1
HACKADAY,2287,4
Steve Kovach,2259,1
Bee Ly TV,2234,1
Rob Andretti,2197,1
Saved By The Max,2078,1
Penguin Books South Africa,2075,1
Tentmaker Pictures,2068,1
National Safety Council,1967,1
The Nocturnal Alchemist,1833,1
Kevin Rabatin,1820,1
CHauserable,1807,1
Na So We See Am,1762,1
Total Combat,1722,1
Josh Levine,1719,1
The Scam On Demand,1591,1
Pies Are Awesome,1515,1
John Sellars,1480,1
Define American,1456,1
DraftExpress,1432,1
dekuNukem,1425,1
Michael Rigsby,1415,1
littleBits Electronics,1387,1
Sarasota Police Department,1338,1
Facelesstech,1237,1
9-1-1 on FOX,1172,1
Cleveland Browns,1164,1
taalk com,1107,1
J Gasser,987,1
Ben Rohrbach,945,1
Single Shot,920,1
University of Rochester EEOC Complainants,884,1
Newsy,818,2
OjO Commuter Scooter by OjO Electric,789,1
90s Commercials,773,1
GoDucksdotcom,687,1
Palo Alto Online,658,1
